,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
65,Kazakhstan,10659103.1444444,11799627.1808999,12849794,13273837.202,13433123.248424,14413741.245559,15480358.0977303,16223415.2864214,17196820.2036067,17919086.6521581,18134115.691984,18333590.9645959,19085268.1941443,19867764.1901042,...
66,Kenya,2445134.20560831,2588279.16153089,2765595.78629848,2772018.98719567,2863688,3104303.43360917,3294025.96010962,3444343.48110597,3646821.5093881097,3842186.5366767,4061901.5673665,4300699.00072173,4509822.229932071,4794833.26974241,...
67,Kiribati,146.464244208,146.391968770834,149.371096013966,146.246781831213,147.42108775439502,146.05881693688698,148.387716977141,155.28742611156898,161.930730722888,160.951344448971,177.522851495157,179.547056276468,185.118089732617,...,...
68,"Korea, Republic of",1155129700,1215939500,1286458500,1325219300,1335724300,1426618000,1479198400,1514736600,1562673600,1612717500,1658020400,1706880300,1760811500,1807735900,...
69,Kuwait,31220.9822162813,33568.8778427105,35580.211310082705,36462.5450050264,33882.4178345356,33079.2,36695.050455078905,39579.5555639214,39723.9286974334,39970.748045375,39569.5821152867,40697.3,38779.6,39262.8,...
70,Kyrgyz Republic,100899.2,104030,112917.152594769,121460.719019054,124966.43315566,124377.133188204,131785.376418099,131669.207328455,146041.519470792,151918.286629156,157806.374234681,164648.631204632,172452.873012878,178418.386920478,...
71,Lao People's Democratic Republic,47705194.7866626,51976501.3870103,56057405.11626121,60442394.007097706,64898804.3498957,70102553.0930343,75701258.6596477,81609860.35599029,88160112.7625295,94870828.3152593,101767550.247414,108914778.799321,116356000,123696000,...
72,Lesotho,15562.9953569328,16250.4680717382,17061.8234656304,18006.4078766778,18573.5162381828,19741.542092852294,21057.1240912527,22091.7188308388,22570.4712354541,23240.1199168563,23817.908677689706,24546.967306345403,24163.5602978551,...,...
73,Liberia,755.100669512193,819.133343686805,926.464135079377,983.026010489108,1034.06250374796,1099.73942895554,1184.42368938639,1284.14955420118,1397.61247288341,1407.32102254805,1407.4205227612,1384.47858480724,1418.65622219599,...,...
74,Libya,44087.2,46583.6,48898,50228.7,49854.3,...,...,...,...,...,...,...,...,...,...
75,Madagascar,5897793.984542901,6216186.89116193,6615266.3095472,7091999.347593401,6756812.99515137,6774586.34835475,6873124.32812952,7081204.02249022,7240899.62191696,7480997.292900701,7714151.155994889,8036601.921206099,8371792.093281541,...,...
